"old_names","new_names"
"allA","allA"
"speF","speF"
"kdpE","kdpE"
"kdpC","kdpC"
"allP","allP"
"ybbY","ybbY"
"fdrA","fdrA"
"STM0719","STM0719"
"STM0722","STM0722"
"lpxH","lpxH"
"cysS","cysS"
"sdhA","sdhA"
"sucA","sucA"
"sucD","sucD"
"STM0561","STM0561"
"ybgC","ybgC"
"tolA","tolA"
"STM0566","STM0566"
"zitB","zitB"
"ybdG","ybdG"
"STM0572","STM0572"
"STM0763","STM0763"
"STM0574","STM0574"
"STM0575","STM0575"
"STM0769","STM0769"
"STM0580","STM0580"
"galM","galM"
"fepA","fepA"
"modF","modF"
"ybdZ","ybdZ"
"entF","entF"
"ybhA","ybhA"
"pgl","pgl"
"ybhC","ybhC"
"hutI","hutI"
"hutG","hutG"
"hutC","hutC"
"hutH","hutH"
"cstA","cstA"
"bioF","bioF"
"ybdL","ybdL"
"bioD1","bioD1"
"ybdO","ybdO"
"STM0611","STM0611"
"ybhL","ybhL"
"STM0613","STM0613"
"rna","rna"
"citT","citT"
"clsB","clsB"
"ybhR","ybhR"
"citC","citC"
"dpiB","dpiB"
"dpiA","dpiA"
"dcuC","dcuC"
"lipB","lipB"
"ybiH","ybiH"
"dinG","dinG"
"ybiB","ybiB"
"ybiI","ybiI"
"rlmF","rlmF"
"ybiO","ybiO"
"ybiP","opgE"
"ybiT","ybiT"
"ybiV(2)","ybiV(2)"
"gsiB","gsiB"
"STM0854","STM0854"
"STM0856","STM0856"
"STM0858","STM0858"
"STM0859","STM0859"
"yliJ","yliJ"
"mdfA","mdfA"
"STM0867","STM0867"
"STM0868","STM0868"
"rlmC","rlmC"
"artM","artM"
"STM0912","STM0912"
"STM0922","STM0922"
"STM0924","STM0924"
"ybjR","amiD"
"ltaA","ltaA"
"hcp","hcp"
"ybjE","lysO"
"ybjD","ybjD"
"ybjY","macA"
"macB","macB"
"cydC","cydC"
"cydD","cydD"
"lolA","lolA"
"dmsA","dmsA"
"ycaM","ycaM"
"ycaL","ycaL"
"cmk","cmk"
"kdsB","kdsB"
"ycbC","ycbC"
"ycbB","ldtD"
"STM1001","STM1001"
"STM1003","STM1003"
"ycfD","roxA"
"hflD","hflD"
"mnmA","mnmA"
"STM1255","STM1255"
"STM1028","STM1028"
"STM1033","STM1033"
"yeaM","yeaM"
"yeaL","yeaL"
"yeaG","yeaG"
"yeaD","yeaD"
"pncA","pncA"
"selD","selD"
"STM1301","STM1301"
"astC","astC"
"astE","astE"
"spy","spy"
"yccS","yccS"
"helD","helD"
"STM1082","STM1082"
"ydjN","tcyP"
"pfkB","pfkB"
"copS","copS"
"hpaC","hpaC"
"hpaG","hpaG"
"btuC","btuC"
"hpcH","hpcH"
"aroH","aroH"
"scsB","scsB"
"ydiR","ydiR"
"ycdC","rutR"
"STM1127","STM1127"
"STM1128","STM1128"
"ydiB","ydiB"
"ydiM","ydiM"
"ghrA","ghrA"
"ydiJ","ydiJ"
"menI","menI"
"mdoH","opgH"
"sufA","sufA"
"dinI","dinI"
"lpp2","lpp2"
"rimJ","rimJ"
"rne","rne"
"rluC","rluC"
"ssrA","ssrA"
"mdtK","mdtK"
"ribE","ribC"
"fhuE","fhuE"
"lpoB","lpoB"
"ycfS","ldtC"
"mfd","mfd"
"ycfW","lolE"
"ydhB","punR"
"nemA","nemA"
"ydhF","ydhF"
"ydhK","ydhK"
"pdxY","pdxY"
"dtpA","dtpA"
"nth","nth"
"rsxD","rsxD"
"add","add"
"fumC","fumC"
"rstA","rstA"
"pntA","pntA"
"ynfL","ynfL"
"mlc","mlc"
"bioD2","bioD2"
"STM1496","STM1496"
"STM1498","STM1498"
"STM1499","STM1499"
"speG","speG"
"ynfA","ynfA"
"rspB","rspB"
"ydfI","ydfI"
"ydeE","ydeE"
"yneJ","yneJ"
"glsA","glsA"
"hypA","hypA"
"STM1537","STM1537"
"STM1539","STM1539"
"STM1542","STM1542"
"STM1548","STM1548"
"STM1559","STM1559"
"maeA","maeA"
"fdnI","fdnI"
"narZ","narZ"
"narY","narY"
"narW","narW"
"narV","narV"
"ydcN","sutR"
"STM1606","STM1606"
"tehB","tehB"
"tehA","tehA"
"rimL","rimL"
"STM1617","STM1617"
"mdoD","opgD"
"ydcI","ydcI"
"trg","trg"
"STM1627","STM1627"
"STM1632","STM1632"
"STM1634","STM1634"
"STM1636","STM1636"
"STM1637","STM1637"
"cybB","cybB"
"ydcF","ydcF"
"hrpA","hrpA"
"nifJ","ydbK"
"STM1657","STM1657"
"STM1664","STM1664"
"STM1669","STM1669"
"STM1674","STM1674"
"STM1677","STM1677"
"mppA","mppA"
"ycjF","ycjF"
"acnA","acnA"
"ompW","ompW"
"STM1741","STM1741"
"adhE","adhE"
"narI","narI"
"narJ","narJ"
"narH","narH"
"narG","narG"
"narK","narK"
"ychP","ychO"
"chaA","chaA"
"STM1786","STM1786"
"STM1788","STM1788"
"STM1793","STM1793"
"STM1795","STM1795"
"treA","treA"
"dadA","dadA"
"nhaB","nhaB"
"minD","minD"
"sdaA","sdaA"
"rrmA","rlmA"
"kdgR","kdgR"
"rsmF","rsmF"
"STM1874","STM1874"
"fliH","fliH"
"flgJ","flgJ"
"purT","purT"
"zwf","zwf"
"yebK","yebK"
"pykA","pykA"
"yebA","mepM"
"znuC","znuC"
"yecM","yecM"
"araH","araH"
"STM1933","STM1933"
"ftn","ftnA"
"dcyD","dcyD"
"dgcQ","dgcQ"
"yedI","yedI"
"yeeO","yeeO"
"yeeA","yeeA"
"yegH","yegH"
"asmA","asmA"
"alkA","alkA"
"yegD","yegD"
"mdtB","mdtB"
"mdtD","mdtD"
"baeR","baeR"
"yegV","yegV"
"stcC","stcC"
"apbC","apbC"
"metG","metG"
"yehW","yehW"
"yehY","yehY"
"dld","dld"
"STM2175","STM2175"
"STM2176","STM2176"
"sanA","sanA"
"preT","preT"
"preA","preA"
"yeiG","yeiG"
"STM2196","STM2196"
"STM2197","STM2197"
"STM2198","STM2198"
"cirA","cirA"
"lysP","lysP"
"yeiE","yeiE"
"yeiH","yeiH"
"nfo","nfo"
"fruA","fruA"
"yejE","yejE"
"yejF","yejF"
